-0.145,-0.288,-11.294,0.123,-0.074,0.035,0.212,-0.177,-10.892,0.104,0.121,0.029,0.000,21.301,12.103,0.000
-0.144,-0.341,-11.148,0.126,-0.079,0.034,0.166,-0.181,-11.150,0.097,0.124,0.031,0.000,21.032,10.804,0.000
-0.074,-0.245,-11.258,0.125,-0.080,0.035,0.193,-0.248,-11.008,0.096,0.117,0.030,0.000,20.999,19.064,0.000
-0.145,-0.287,-11.257,0.124,-0.074,0.035,0.261,-0.207,-10.819,0.101,0.119,0.030,0.000,21.054,13.970,0.000
-0.215,-0.357,-11.295,0.121,-0.070,0.034,0.214,-0.236,-10.929,0.100,0.121,0.031,0.000,20.954,10.804,0.000
-0.169,-0.192,-11.256,0.124,-0.072,0.036,0.214,-0.211,-11.076,0.095,0.124,0.032,0.000,21.380,11.593,0.000
0.022,6.774,11.655,-1.706,0.194,0.014,1.186,-8.994,13.396,2.963,0.302,0.005,0.000,21.389,547.756,0.000
0.653,6.937,13.083,-1.754,0.164,0.016,1.021,-8.759,13.938,2.861,0.233,-0.003,0.000,20.482,551.823,0.000
-2.312,7.340,14.918,-1.842,-0.223,0.009,0.380,-9.040,15.954,3.030,-0.099,0.024,0.000,20.970,549.959,0.000
-1.602,7.130,17.634,-1.965,-0.173,0.034,-0.861,-10.037,18.184,3.190,-0.167,0.050,0.000,21.022,560.974,0.000
0.522,6.569,12.240,-1.593,-0.005,0.034,0.946,-8.161,13.279,2.659,0.191,0.020,0.000,20.345,553.009,0.000
-0.865,6.269,11.459,-1.758,0.043,0.006,0.613,-9.039,12.812,2.871,0.275,0.040,0.000,20.973,574.024,0.000
-0.300,6.248,18.096,-1.954,0.140,0.037,0.797,-9.975,19.066,3.086,0.146,0.012,0.000,21.308,558.602,0.000
-0.409,7.330,17.251,-1.730,-0.134,0.029,0.330,-8.821,19.709,2.787,-0.117,0.010,0.000,20.963,551.992,0.000
-1.148,7.098,14.523,-1.896,0.131,0.015,1.826,-8.959,15.702,3.024,0.360,-0.028,0.000,20.918,555.551,0.000
-0.457,7.244,12.989,-1.828,0.120,0.003,-0.319,-9.664,14.421,3.021,0.152,0.016,0.000,20.986,557.076,0.000
0.440,7.506,16.862,-1.868,0.062,0.054,0.974,-9.048,18.276,2.989,-0.036,0.005,0.000,21.002,550.637,0.000
-0.173,5.092,11.172,-1.533,0.164,0.009,0.938,-7.918,11.177,2.595,0.072,0.009,0.000,21.074,560.296,0.000
-0.629,6.348,14.747,-1.783,-0.031,0.041,0.808,-9.287,15.899,2.888,-0.073,0.052,0.072,20.973,553.687,0.000
-1.685,7.237,16.221,-1.912,-0.203,0.041,0.487,-10.201,17.225,3.118,-0.223,0.071,0.072,20.976,550.637,0.000
0.004,8.052,15.587,-1.952,-0.099,0.038,0.115,-9.834,17.382,3.182,-0.051,0.049,0.000,20.791,549.450,0.000
-0.492,7.884,20.287,-1.940,-0.362,0.057,-0.715,-9.841,20.420,3.095,-0.248,0.044,0.000,21.045,552.162,0.000
-0.849,5.654,11.273,-1.608,-0.130,0.017,0.842,-8.467,11.302,2.662,-0.183,0.028,0.000,20.970,549.111,0.000
-1.689,7.293,11.464,-1.776,-0.144,0.040,0.123,-9.096,12.276,2.951,-0.122,0.022,0.000,21.012,549.620,0.000
-0.305,7.110,14.390,-1.785,-0.004,0.030,-0.134,-9.782,14.517,2.920,-0.262,0.049,0.000,21.009,555.043,0.000
-0.954,6.827,14.405,-1.904,0.110,0.008,0.266,-9.990,15.397,3.146,0.079,0.006,0.000,21.207,556.907,0.000
0.507,7.300,16.713,-1.792,-0.198,0.044,-0.560,-9.651,16.090,2.874,-0.210,0.030,0.000,21.045,552.162,0.000
-2.054,7.714,13.807,-1.789,-0.162,0.024,0.620,-8.998,15.892,3.023,0.108,0.001,0.000,20.963,550.806,0.000
-0.582,6.589,15.378,-1.731,-0.273,0.029,-1.086,-8.871,16.214,2.831,-0.213,0.042,0.000,21.028,551.653,0.000
0.583,8.767,14.936,-1.787,-0.139,0.048,-0.340,-9.195,15.391,2.992,-0.058,0.051,0.072,20.967,556.568,0.000
0.008,7.081,14.286,-1.719,-0.158,0.047,0.196,-8.851,15.320,2.755,-0.211,0.044,0.000,21.002,553.009,0.000
-0.881,6.705,10.527,-1.716,0.060,0.035,0.956,-8.280,13.273,2.759,0.234,0.026,0.000,21.051,549.959,0.000
-0.275,7.133,12.164,-1.648,0.028,0.039,0.139,-8.463,12.650,2.738,0.111,-0.000,0.000,20.960,551.484,0.000
-1.527,5.164,7.245,-1.465,-0.123,0.008,-0.202,-7.141,8.998,2.523,-0.080,0.038,0.000,21.025,548.264,0.000
-0.672,6.838,12.787,-1.713,-0.210,0.012,0.140,-9.008,13.930,2.759,-0.116,0.021,0.000,20.967,554.873,0.000
-0.119,6.432,13.866,-1.813,0.067,0.020,0.180,-9.891,14.199,2.990,0.106,-0.008,0.000,21.032,548.433,0.000
1.045,7.041,15.051,-1.745,0.245,0.049,2.062,-8.981,14.675,2.816,0.363,-0.018,0.000,20.970,547.756,0.000
0.641,6.967,18.070,-1.884,0.216,0.026,0.254,-9.751,18.614,3.028,0.072,0.009,0.000,21.012,551.314,0.000
-0.110,5.796,12.319,-1.702,0.147,0.031,-1.000,-9.019,12.701,2.720,-0.000,0.026,0.000,20.986,560.974,0.000
-0.157,8.107,16.726,-1.885,-0.036,0.031,-0.005,-9.110,16.826,3.025,0.003,0.042,0.000,21.035,552.501,0.000
0.929,8.183,18.870,-1.991,0.164,0.036,1.913,-10.380,20.812,3.195,0.297,0.020,0.000,21.165,552.331,0.000
0.931,7.369,18.120,-1.816,0.049,0.027,-0.554,-9.528,17.243,2.860,-0.128,0.023,0.000,20.947,553.687,0.000
0.002,5.961,16.208,-1.789,0.072,-0.008,1.134,-8.392,15.189,2.806,0.063,-0.024,0.000,21.035,554.534,0.000
0.146,5.961,13.690,-1.654,0.121,0.025,0.368,-8.438,13.367,2.662,0.092,0.007,0.000,21.035,551.992,0.000
-0.161,7.886,18.600,-1.918,0.091,0.021,-0.109,-9.349,18.344,3.117,-0.181,0.001,0.000,21.009,554.365,0.000
0.857,6.588,11.951,-1.406,-0.168,0.041,-0.640,-7.618,11.484,2.491,-0.196,0.053,0.072,21.025,562.330,0.000
0.600,7.811,14.529,-1.673,-0.077,0.035,-0.189,-9.123,15.425,2.786,0.251,0.020,0.000,20.957,553.179,0.000
0.014,6.632,12.341,-1.560,-0.120,0.011,0.248,-7.953,12.067,2.553,-0.103,0.012,0.000,21.048,555.721,0.000
2.637,7.341,16.951,-1.744,0.362,0.047,2.030,-9.236,17.236,2.852,0.422,-0.013,0.000,20.954,551.992,0.000
0.143,7.812,14.990,-1.892,0.158,0.036,-0.390,-9.252,15.028,3.044,0.115,0.004,0.000,21.025,582.497,0.000
0.268,8.990,16.377,-1.879,-0.077,0.046,0.306,-9.500,17.669,3.076,-0.037,0.047,0.000,20.989,553.348,0.000
0.292,8.092,18.321,-1.930,0.067,0.028,1.011,-9.177,19.752,3.094,-0.039,0.028,0.000,21.061,553.687,0.000
-0.090,-0.375,-13.477,0.180,-0.085,0.026,0.170,-0.215,-12.987,0.125,0.111,0.021,0.000,21.380,10.804,0.000
-0.040,-0.376,-13.366,0.170,-0.086,0.024,0.121,-0.268,-12.910,0.136,0.112,0.017,0.000,21.822,11.084,0.000
